Aktuellt och historik,,F26D,,S25,,F25D,,F24,S24,,F23,,S23,,F22,,S22,,S21,,S20,,S19,,Score,LIA-perioder,LIA-studerande,LIA-pitch 2025,LIA-pitch 2024,LIA-pitch 2023,LIA-pitch 2022
Företag,Stad,LIA2,LIA1,LIA 2,LIA 1,LIA2,LIA1,LIA,LIA2,LIA1,LIA2,LIA1,LIA2,LIA1,LIA2,LIA1,LIA2,LIA1,LIA2,LIA1,LIA2,LIA1,LIA2,LIA1,,,,,,,
ACG Devs,Borås,,,,Ja,,,2,2,2,,,2,2,1,,2,2,2,2,3,3,1,,1000613,13,26,Ja,Ja,Ja,Ja
Advacy/Imerge,Ulricehamn,,,,Kanske,,,,,1,,,,2,,,1,1,,,,,,,1000101,4,5,,,,Ja
Alektum Group,Göteborg,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,
Alimak Group,Borås,,,,Nej,, ,,1,1,,,, ,,1,3,2,1,,,,,,1000304,6,9,,,,Ja
Avarda (fd TF Bank),Borås,,,,3,,,,2,3,1,2,1,2,2,2,2,2,2,2,,1,1,1,1000711,16,29,,Ja,Ja,Ja
Axel Arigato,Göteborg,,,,,,,,,,,,,,,1,,,,,,,,,1000101,1,1,,,,
Axis Communications,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,
Blåkläder,Svenljunga,,,,,,,,,,,1,, ,,,,,,,,,2,2,500204,3,5,,,,
Borås Stad (specialuppdrag),Borås,,,,,,,,,5,,,,,,,,,,,,,,,,1,5,,,,
Boråsnet (specialuppdrag),Borås,,,,,,,,,3,,,,,,,,,,,,,,,,1,3,,,,
Brainforest,Borås,,,,Ja,,,1,1,2,1,1,,1,,3,,,,1,2,2,2,2,1000612,12,19,,Ja,Ja,Ja
Brave Agency (fd Ngine),Göteborg/Borås,,,,,,,,,,,,,,,,,,,,,,1,1,500202,2,2,,,,Ja
BRvux (specialuppdrag),Borås,,,,,,,,,,,3,,,,4,,,,,,,,,,2,7,,,,
Bufferleaf,Umeå,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,
BuzzyStores/Swipe Solution,Borås,,,,Ja,,,,,2,,,2,,,,,,,,,,,,,2,4,,,,
Care Of Carl,Borås,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,
Centiro,Borås,,,,Ja,,1,1,5,4,1,1,3,3,1,2,4,6,4,9,1,2,3,4,1000831,18,55,Ja,Ja,Ja,Ja
China Town (specialuppdrag),Borås,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,
CleverApps,Borås,,,,,,,,,,1,1,2, ,,,2,2,2,2,2,,,,1000408,8,14,,,,Ja
Combinium,Borås,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,
Concil Lidköping,Lidköping,,,,,,2,,,,,,,,,1,,,,,,,,,1000101,2,3,,,,
Consid,Borås,,,,,,,,,,3,3,,,,1,,,2,1,1,,,,1000405,6,11,,,,Ja
Contact Media,Borås,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,
Covabe AB,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,
Decision by Heart AB,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,
Dialect,Slövde,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,
Duva (Carrier Pidgeon),Lidköping,,,,,,,,,,,,,,,1,,,,,1,,,,1000202,2,2,,,Nej,Ja
